id,name,lng,lat,address,full_address,count
1651,酒厂路叶庄村,115.666977,34.439362,酒厂路叶庄村,河南省商丘市梁园区白云街道酒厂路叶庄村,1
1652,,115.146278,34.437401,潘庄村,河南省商丘市睢县尤吉屯乡潘庄村,1
1653,新生村,112.46907,34.679771,新生村,河南省洛阳市老城区新生村,1
1654,南关市环保局家属院,112.465309,34.673397,南关市环保局家属院,河南省洛阳市老城区南关市环保局家属院,1
1655,,112.411636,34.632381,滨河新村,河南省洛阳市高新区滨河新村,2
1656,,112.7099,34.578239,大口镇,河南省洛阳市偃师市大口镇,1
1657,金梨苑小区,112.431915,34.678677,金梨苑小区,河南省洛阳市西工区金梨苑小区,1
1658,惠安小区,112.139412,34.733952,惠安小区,河南省洛阳市新安县惠安小区,1
1659,四通路2号院,112.516342,34.720005,四通路2号院,河南省洛阳市瀍河区四通路2号院,2
1660,龙源花园,112.481308,34.701889,龙源花园,河南省洛阳市瀍河区龙源花园,1
1661,银河小区,112.521385,34.722393,银河小区,河南省洛阳市瀍河区杨文街道银河小区,1
1662,建业高尔夫,112.433823,34.63332,建业高尔夫,河南省洛阳市洛龙区建业高尔夫,1
1663,升龙城,112.419807,34.644859,升龙城,河南省洛阳市涧西区升龙城,1
1664,洛热社区,112.384926,34.664364,洛热社区,河南省洛阳市涧西区洛热社区,1
